sex; entity; period; age-group; c1yr; rs1yr; LL_rs1yr;UL_rs1yr;i_1yr; c5yr; rs5yr; LL_rs5yr; UL_rs5yr;i_5yr; c10yr; rs10yr; LL_rs10yr; UL_rs10yr;i_10yr;
1 ;10 ;1966 ;0 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
1 ;10 ;1966 ;1 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
1 ;10 ;1966 ;2 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
1 ;10 ;1966 ;3 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
1 ;10 ;1966 ;4 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
1 ;10 ;1966 ;5 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
1 ;10 ;1966 ;6 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
1 ;10 ;1971 ;0 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
1 ;10 ;1971 ;1 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
1 ;10 ;1971 ;2 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
1 ;10 ;1971 ;3 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
1 ;10 ;1971 ;4 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
1 ;10 ;1971 ;5 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
1 ;10 ;1971 ;6 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
1 ;10 ;1976 ;0 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
1 ;10 ;1976 ;1 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
1 ;10 ;1976 ;2 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
1 ;10 ;1976 ;3 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
1 ;10 ;1976 ;4 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
1 ;10 ;1976 ;5 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
1 ;10 ;1976 ;6 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
1 ;10 ;1981 ;0 ;  0; 98; 96;100;. ;  0; 95; 90; 99;. ;  0; * ; * ; * ;.
1 ;10 ;1981 ;1 ;  0;100;100;100;. ;  0; 99; 88;101;. ;  0; * ; * ; * ;.
1 ;10 ;1981 ;2 ;  0;101;101;101;. ;  0;101; 94;104;. ;  0; * ; * ; * ;.
1 ;10 ;1981 ;3 ;  0; 97; 92;100;. ;  0; 90; 82; 97;. ;  0; * ; * ; * ;.
1 ;10 ;1981 ;4 ;  0;101; 96;103;. ;  0;101; 91;110;. ;  0; * ; * ; * ;.
1 ;10 ;1981 ;5 ;  0; 89; 78; 98;. ;  0; 78; 57; 99;. ;  0; * ; * ; * ;.
1 ;10 ;1981 ;6 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
1 ;10 ;1986 ;0 ;  0; 97; 95; 99;. ;  0; 94; 89;100;. ;  0; * ; * ; * ;.
1 ;10 ;1986 ;1 ;  0;100;100;100;. ;  0;102;102;102;. ;  0; * ; * ; * ;.
1 ;10 ;1986 ;2 ;  0;100; 92;101;. ;  0; 99; 90;103;. ;  0; * ; * ; * ;.
1 ;10 ;1986 ;3 ;  0; 98; 93;100;. ;  0; 83; 74; 90;. ;  0; * ; * ; * ;.
1 ;10 ;1986 ;4 ;  0; 98; 92;101;. ;  0; 93; 81;103;. ;  0; * ; * ; * ;.
1 ;10 ;1986 ;5 ;  0; 90; 77; 99;. ;  0;103; 77;128;. ;  0; * ; * ; * ;.
1 ;10 ;1986 ;6 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
1 ;10 ;1991 ;0 ;  0;100; 98;102;. ;  0; 97; 92;103;. ;  0; * ; * ; * ;.
1 ;10 ;1991 ;1 ;  0;100;100;100;. ;  0; 94; 79;100;. ;  0; * ; * ; * ;.
1 ;10 ;1991 ;2 ;  0;100; 92;101;. ;  0; 99; 91;103;. ;  0; * ; * ; * ;.
1 ;10 ;1991 ;3 ;  0;100; 95;102;. ;  0; 99; 90;105;. ;  0; * ; * ; * ;.
1 ;10 ;1991 ;4 ;  0; 99; 93;102;. ;  0; 93; 82;103;. ;  0; * ; * ; * ;.
1 ;10 ;1991 ;5 ;  0;103; 92;108;. ;  0;102; 76;127;. ;  0; * ; * ; * ;.
1 ;10 ;1991 ;6 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
1 ;10 ;1996 ;0 ;  0; 99; 96;101;. ;  0; 88; 82; 94;. ;  0; * ; * ; * ;.
1 ;10 ;1996 ;1 ;  0;100;100;100;. ;  0; 86; 61; 97;. ;  0; * ; * ; * ;.
1 ;10 ;1996 ;2 ;  0;101;101;101;. ;  0; 96; 81;102;. ;  0; * ; * ; * ;.
1 ;10 ;1996 ;3 ;  0; 99; 93;101;. ;  0; 98; 87;105;. ;  0; * ; * ; * ;.
1 ;10 ;1996 ;4 ;  0; 98; 92;102;. ;  0; 83; 70; 94;. ;  0; * ; * ; * ;.
1 ;10 ;1996 ;5 ;  0; 95; 80;103;. ;  0; 71; 46; 97;. ;  0; * ; * ; * ;.
1 ;10 ;1996 ;6 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
1 ;10 ;2001 ;0 ;  0; 97; 94;101;. ;  0; 87; 79; 95;. ;  0; * ; * ; * ;.
1 ;10 ;2001 ;1 ;  0;100;100;100;. ;  0; 95; 62;101;. ;  0; * ; * ; * ;.
1 ;10 ;2001 ;2 ;  0; 97; 78;100;. ;  0; 82; 61; 94;. ;  0; * ; * ; * ;.
1 ;10 ;2001 ;3 ;  0; 99; 91;101;. ;  0; 86; 74; 95;. ;  0; * ; * ; * ;.
1 ;10 ;2001 ;4 ;  0;100; 91;104;. ;  0; 90; 73;103;. ;  0; * ; * ; * ;.
1 ;10 ;2001 ;5 ;  0; 87; 68; 99;. ;  0; 79; 49;110;. ;  0; * ; * ; * ;.
1 ;10 ;2001 ;6 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
1 ;10 ;2006 ;0 ;  0; 99; 97;102;1 ;  0; 91; 84; 99;1 ;  0; * ; * ; * ;.
1 ;10 ;2006 ;1 ;  0;100;100;100;1 ;  0;101;101;101;1 ;  0; * ; * ; * ;.
1 ;10 ;2006 ;2 ;  0; 96; 72;100;1 ;  0; 79; 53; 93;1 ;  0; * ; * ; * ;.
1 ;10 ;2006 ;3 ;  0;102;102;102;1 ;  0; 87; 73; 97;1 ;  0; * ; * ; * ;.
1 ;10 ;2006 ;4 ;  0; 98; 89;101;1 ;  0; 84; 69; 96;1 ;  0; * ; * ; * ;.
1 ;10 ;2006 ;5 ;  0;102; 87;108;1 ;  0;119; 88;143;1 ;  0; * ; * ; * ;.
1 ;10 ;2006 ;6 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
1 ;10 ;2011 ;0 ;  0; 99; 97;102;1 ;  0; 91; 84; 99;1 ;  0; * ; * ; * ;.
1 ;10 ;2011 ;1 ;  0;100;100;100;1 ;  0;101;101;101;1 ;  0; * ; * ; * ;.
1 ;10 ;2011 ;2 ;  0; 96; 72;100;1 ;  0; 79; 53; 93;1 ;  0; * ; * ; * ;.
1 ;10 ;2011 ;3 ;  0;102;102;102;1 ;  0; 87; 73; 97;1 ;  0; * ; * ; * ;.
1 ;10 ;2011 ;4 ;  0; 98; 89;101;1 ;  0; 84; 69; 96;1 ;  0; * ; * ; * ;.
1 ;10 ;2011 ;5 ;  0;102; 87;108;1 ;  0;119; 88;143;1 ;  0; * ; * ; * ;.
1 ;10 ;2011 ;6 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
2 ;10 ;1966 ;0 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
2 ;10 ;1966 ;1 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
2 ;10 ;1966 ;2 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
2 ;10 ;1966 ;3 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
2 ;10 ;1966 ;4 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
2 ;10 ;1966 ;5 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
2 ;10 ;1966 ;6 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
2 ;10 ;1971 ;0 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
2 ;10 ;1971 ;1 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
2 ;10 ;1971 ;2 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
2 ;10 ;1971 ;3 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
2 ;10 ;1971 ;4 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
2 ;10 ;1971 ;5 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
2 ;10 ;1971 ;6 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
2 ;10 ;1976 ;0 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
2 ;10 ;1976 ;1 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
2 ;10 ;1976 ;2 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
2 ;10 ;1976 ;3 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
2 ;10 ;1976 ;4 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
2 ;10 ;1976 ;5 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
2 ;10 ;1976 ;6 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
2 ;10 ;1981 ;0 ;  0;102; 99;105;. ;  0; 89; 77;103;. ;  0; * ; * ; * ;.
2 ;10 ;1981 ;1 ;  0;100;100;100;1 ;  0; 97; 69;102;1 ;  0; * ; * ; * ;.
2 ;10 ;1981 ;2 ;  0;100;100;100;1 ;  0; 97; 69;102;1 ;  0; * ; * ; * ;.
2 ;10 ;1981 ;3 ;  0;101;101;101;. ;  0; 82; 51; 98;. ;  0; * ; * ; * ;.
2 ;10 ;1981 ;4 ;  0;104;104;104;. ;  0; 83; 57;101;. ;  0; * ; * ; * ;.
2 ;10 ;1981 ;5 ;  0;100; 53;110;. ;  0; 97; 36;146;. ;  0; * ; * ; * ;.
2 ;10 ;1981 ;6 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
2 ;10 ;1986 ;0 ;  0; 97; 91;102;. ;  0; 91; 80;102;. ;  0; * ; * ; * ;.
2 ;10 ;1986 ;1 ;  0;100;100;100;1 ;  0; 94; 58;101;1 ;  0; * ; * ; * ;.
2 ;10 ;1986 ;2 ;  0;100;100;100;1 ;  0; 94; 58;101;1 ;  0; * ; * ; * ;.
2 ;10 ;1986 ;3 ;  0; 94; 58;101;. ;  0; 94; 57;106;. ;  0; * ; * ; * ;.
