sex; entity; period; age-group; c1yr; rs1yr; LL_rs1yr;UL_rs1yr;i_1yr; c5yr; rs5yr; LL_rs5yr; UL_rs5yr;i_5yr; c10yr; rs10yr; LL_rs10yr; UL_rs10yr;i_10yr;
1 ;10 ;1966 ;0 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
1 ;10 ;1966 ;1 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
1 ;10 ;1966 ;2 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
1 ;10 ;1966 ;3 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
1 ;10 ;1966 ;4 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
1 ;10 ;1966 ;5 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
1 ;10 ;1966 ;6 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
1 ;10 ;1971 ;0 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
1 ;10 ;1971 ;1 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
1 ;10 ;1971 ;2 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
1 ;10 ;1971 ;3 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
1 ;10 ;1971 ;4 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
1 ;10 ;1971 ;5 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
1 ;10 ;1971 ;6 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
1 ;10 ;1976 ;0 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
1 ;10 ;1976 ;1 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
1 ;10 ;1976 ;2 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
1 ;10 ;1976 ;3 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
1 ;10 ;1976 ;4 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
1 ;10 ;1976 ;5 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
1 ;10 ;1976 ;6 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
1 ;10 ;1981 ;0 ;  0;103;101;105;1 ;  0; 80; 68; 94;1 ;  0; * ; * ; * ;.
1 ;10 ;1981 ;1 ;  0;101;101;101;1 ;  0; 76; 51; 92;1 ;  0; * ; * ; * ;.
1 ;10 ;1981 ;2 ;  0;101;101;101;1 ;  0; 76; 51; 92;1 ;  0; * ; * ; * ;.
1 ;10 ;1981 ;3 ;  0;101;101;101;1 ;  0; 76; 51; 92;1 ;  0; * ; * ; * ;.
1 ;10 ;1981 ;4 ;  0;105;105;105;1 ;  0; 94; 58;116;1 ;  0; * ; * ; * ;.
1 ;10 ;1981 ;5 ;  0;106; 71;112;1 ;  0; 66; 24;113;1 ;  0; * ; * ; * ;.
1 ;10 ;1981 ;6 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
1 ;10 ;1986 ;0 ;  0; 97; 90;104;1 ;  0;106; 91;123;1 ;  0; * ; * ; * ;.
1 ;10 ;1986 ;1 ;  0; 93; 52;100;1 ;  0;100; 56;109;1 ;  0; * ; * ; * ;.
1 ;10 ;1986 ;2 ;  0; 93; 52;100;1 ;  0;100; 56;109;1 ;  0; * ; * ; * ;.
1 ;10 ;1986 ;3 ;  0; 93; 52;100;1 ;  0;100; 56;109;1 ;  0; * ; * ; * ;.
1 ;10 ;1986 ;4 ;  0; 98; 66;104;1 ;  0; 98; 61;117;1 ;  0; * ; * ; * ;.
1 ;10 ;1986 ;5 ;  0;111;111;111;1 ;  0;144; 25;185;1 ;  0; * ; * ; * ;.
1 ;10 ;1986 ;6 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
1 ;10 ;1991 ;0 ;  0; 97; 90;104;1 ;  0;106; 91;123;1 ;  0; * ; * ; * ;.
1 ;10 ;1991 ;1 ;  0; 93; 52;100;1 ;  0;100; 56;109;1 ;  0; * ; * ; * ;.
1 ;10 ;1991 ;2 ;  0; 93; 52;100;1 ;  0;100; 56;109;1 ;  0; * ; * ; * ;.
1 ;10 ;1991 ;3 ;  0; 93; 52;100;1 ;  0;100; 56;109;1 ;  0; * ; * ; * ;.
1 ;10 ;1991 ;4 ;  0; 98; 66;104;1 ;  0; 98; 61;117;1 ;  0; * ; * ; * ;.
1 ;10 ;1991 ;5 ;  0;111;111;111;1 ;  0;144; 25;185;1 ;  0; * ; * ; * ;.
1 ;10 ;1991 ;6 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
1 ;10 ;1996 ;0 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
1 ;10 ;1996 ;1 ;  0; 90; 44; 99;1 ;  0; 94; 46;104;1 ;  0; * ; * ; * ;.
1 ;10 ;1996 ;2 ;  0; 90; 44; 99;1 ;  0; 94; 46;104;1 ;  0; * ; * ; * ;.
1 ;10 ;1996 ;3 ;  0; 90; 44; 99;1 ;  0; 94; 46;104;1 ;  0; * ; * ; * ;.
1 ;10 ;1996 ;4 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
1 ;10 ;1996 ;5 ;  0; 81; 42;101;1 ;  0; 49; 12; 97;1 ;  0; * ; * ; * ;.
1 ;10 ;1996 ;6 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
1 ;10 ;2001 ;0 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
1 ;10 ;2001 ;1 ;  0; 90; 44; 99;1 ;  0; 94; 46;104;1 ;  0; * ; * ; * ;.
1 ;10 ;2001 ;2 ;  0; 90; 44; 99;1 ;  0; 94; 46;104;1 ;  0; * ; * ; * ;.
1 ;10 ;2001 ;3 ;  0; 90; 44; 99;1 ;  0; 94; 46;104;1 ;  0; * ; * ; * ;.
1 ;10 ;2001 ;4 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
1 ;10 ;2001 ;5 ;  0; 81; 42;101;1 ;  0; 49; 12; 97;1 ;  0; * ; * ; * ;.
1 ;10 ;2001 ;6 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
1 ;10 ;2006 ;0 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
1 ;10 ;2006 ;1 ;  0;101;101;101;1 ;  0; 85; 22;103;1 ;  0; * ; * ; * ;.
1 ;10 ;2006 ;2 ;  0;101;101;101;1 ;  0; 85; 22;103;1 ;  0; * ; * ; * ;.
1 ;10 ;2006 ;3 ;  0;101;101;101;1 ;  0; 85; 22;103;1 ;  0; * ; * ; * ;.
1 ;10 ;2006 ;4 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
1 ;10 ;2006 ;5 ;  0; 95; 37;109;1 ;  0; 83; 19;143;1 ;  0; * ; * ; * ;.
1 ;10 ;2006 ;6 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
1 ;10 ;2011 ;0 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
1 ;10 ;2011 ;1 ;  0;101;101;101;1 ;  0; 85; 22;103;1 ;  0; * ; * ; * ;.
1 ;10 ;2011 ;2 ;  0;101;101;101;1 ;  0; 85; 22;103;1 ;  0; * ; * ; * ;.
1 ;10 ;2011 ;3 ;  0;101;101;101;1 ;  0; 85; 22;103;1 ;  0; * ; * ; * ;.
1 ;10 ;2011 ;4 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
1 ;10 ;2011 ;5 ;  0; 95; 37;109;1 ;  0; 83; 19;143;1 ;  0; * ; * ; * ;.
1 ;10 ;2011 ;6 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
2 ;10 ;1966 ;0 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
2 ;10 ;1966 ;1 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
2 ;10 ;1966 ;2 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
2 ;10 ;1966 ;3 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
2 ;10 ;1966 ;4 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
2 ;10 ;1966 ;5 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
2 ;10 ;1966 ;6 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
2 ;10 ;1971 ;0 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
2 ;10 ;1971 ;1 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
2 ;10 ;1971 ;2 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
2 ;10 ;1971 ;3 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
2 ;10 ;1971 ;4 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
2 ;10 ;1971 ;5 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
2 ;10 ;1971 ;6 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
2 ;10 ;1976 ;0 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
2 ;10 ;1976 ;1 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
2 ;10 ;1976 ;2 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
2 ;10 ;1976 ;3 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
2 ;10 ;1976 ;4 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
2 ;10 ;1976 ;5 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
2 ;10 ;1976 ;6 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
2 ;10 ;1981 ;0 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
2 ;10 ;1981 ;1 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
2 ;10 ;1981 ;2 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
2 ;10 ;1981 ;3 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
2 ;10 ;1981 ;4 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
2 ;10 ;1981 ;5 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
2 ;10 ;1981 ;6 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
2 ;10 ;1986 ;0 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
2 ;10 ;1986 ;1 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
2 ;10 ;1986 ;2 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
