sex; entity; period; age-group; c1yr; rs1yr; LL_rs1yr;UL_rs1yr;i_1yr; c5yr; rs5yr; LL_rs5yr; UL_rs5yr;i_5yr; c10yr; rs10yr; LL_rs10yr; UL_rs10yr;i_10yr;
1 ;10 ;1966 ;0 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
1 ;10 ;1966 ;1 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
1 ;10 ;1966 ;2 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
1 ;10 ;1966 ;3 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
1 ;10 ;1966 ;4 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
1 ;10 ;1966 ;5 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
1 ;10 ;1966 ;6 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
1 ;10 ;1971 ;0 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
1 ;10 ;1971 ;1 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
1 ;10 ;1971 ;2 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
1 ;10 ;1971 ;3 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
1 ;10 ;1971 ;4 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
1 ;10 ;1971 ;5 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
1 ;10 ;1971 ;6 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
1 ;10 ;1976 ;0 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
1 ;10 ;1976 ;1 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
1 ;10 ;1976 ;2 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
1 ;10 ;1976 ;3 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
1 ;10 ;1976 ;4 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
1 ;10 ;1976 ;5 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
1 ;10 ;1976 ;6 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
1 ;10 ;1981 ;0 ;  0; 97; 95; 99;. ;  0; 92; 88; 96;. ;  0; * ; * ; * ;.
1 ;10 ;1981 ;1 ;  0;100;100;100;. ;  0; 93; 78; 99;. ;  0; * ; * ; * ;.
1 ;10 ;1981 ;2 ;  0;100; 95;101;. ;  0; 96; 88;100;. ;  0; * ; * ; * ;.
1 ;10 ;1981 ;3 ;  0; 98; 95;100;. ;  0; 92; 86; 97;. ;  0; * ; * ; * ;.
1 ;10 ;1981 ;4 ;  0; 99; 95;101;. ;  0; 95; 87;102;. ;  0; * ; * ; * ;.
1 ;10 ;1981 ;5 ;  0; 86; 77; 93;. ;  0; 80; 63; 97;. ;  0; * ; * ; * ;.
1 ;10 ;1981 ;6 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
1 ;10 ;1986 ;0 ;  0; 98; 97;100;. ;  0; 94; 90; 98;. ;  0; * ; * ; * ;.
1 ;10 ;1986 ;1 ;  0;100;100;100;. ;  0;102;102;102;. ;  0; * ; * ; * ;.
1 ;10 ;1986 ;2 ;  0;101;101;101;. ;  0;101; 92;104;. ;  0; * ; * ; * ;.
1 ;10 ;1986 ;3 ;  0;100; 96;101;. ;  0; 99; 92;104;. ;  0; * ; * ; * ;.
1 ;10 ;1986 ;4 ;  0; 98; 94;101;. ;  0; 89; 81; 97;. ;  0; * ; * ; * ;.
1 ;10 ;1986 ;5 ;  0; 93; 85; 99;. ;  0; 80; 64; 97;. ;  0; * ; * ; * ;.
1 ;10 ;1986 ;6 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
1 ;10 ;1991 ;0 ;  0; 99; 97;101;. ;  0; 94; 90; 98;. ;  0; * ; * ; * ;.
1 ;10 ;1991 ;1 ;  0;100;100;100;. ;  0;101;101;101;. ;  0; * ; * ; * ;.
1 ;10 ;1991 ;2 ;  0; 98; 90;100;. ;  0; 91; 81; 97;. ;  0; * ; * ; * ;.
1 ;10 ;1991 ;3 ;  0; 97; 91;100;. ;  0; 96; 88;102;. ;  0; * ; * ; * ;.
1 ;10 ;1991 ;4 ;  0;100; 96;102;. ;  0; 92; 83; 99;. ;  0; * ; * ; * ;.
1 ;10 ;1991 ;5 ;  0; 99; 92;105;. ;  0; 89; 71;106;. ;  0; * ; * ; * ;.
1 ;10 ;1991 ;6 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
1 ;10 ;1996 ;0 ;  0; 96; 94; 99;. ;  0; 90; 86; 94;. ;  0; * ; * ; * ;.
1 ;10 ;1996 ;1 ;  0;100;100;100;. ;  0; 98; 78;101;. ;  0; * ; * ; * ;.
1 ;10 ;1996 ;2 ;  0; 99; 88;100;. ;  0; 92; 79; 98;. ;  0; * ; * ; * ;.
1 ;10 ;1996 ;3 ;  0; 97; 91; 99;. ;  0; 90; 81; 96;. ;  0; * ; * ; * ;.
1 ;10 ;1996 ;4 ;  0; 94; 89; 98;. ;  0; 94; 86;102;. ;  0; * ; * ; * ;.
1 ;10 ;1996 ;5 ;  0; 95; 87;101;. ;  0; 73; 56; 89;. ;  0; * ; * ; * ;.
1 ;10 ;1996 ;6 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
1 ;10 ;2001 ;0 ;  0; 98; 96;100;. ;  0; 92; 87; 97;. ;  0; * ; * ; * ;.
1 ;10 ;2001 ;1 ;  0;100;100;100;. ;  0;101;101;101;. ;  0; * ; * ; * ;.
1 ;10 ;2001 ;2 ;  0; 96; 83; 99;. ;  0; 96; 83;101;. ;  0; * ; * ; * ;.
1 ;10 ;2001 ;3 ;  0; 97; 90;100;. ;  0; 83; 72; 92;. ;  0; * ; * ; * ;.
1 ;10 ;2001 ;4 ;  0; 98; 92;101;. ;  0; 87; 76; 96;. ;  0; * ; * ; * ;.
1 ;10 ;2001 ;5 ;  0;101; 94;106;. ;  0;102; 84;118;. ;  0; * ; * ; * ;.
1 ;10 ;2001 ;6 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
1 ;10 ;2006 ;0 ;  0; 99; 97;101;. ;  0; 87; 82; 93;. ;  0; * ; * ; * ;.
1 ;10 ;2006 ;1 ;  0;100;100;100;. ;  0; 89; 61; 98;. ;  0; * ; * ; * ;.
1 ;10 ;2006 ;2 ;  0; 97; 79;100;. ;  0; 79; 59; 91;. ;  0; * ; * ; * ;.
1 ;10 ;2006 ;3 ;  0; 97; 91;100;. ;  0; 91; 82; 97;. ;  0; * ; * ; * ;.
1 ;10 ;2006 ;4 ;  0;100; 94;102;. ;  0; 93; 82;101;. ;  0; * ; * ; * ;.
1 ;10 ;2006 ;5 ;  0;101; 93;106;. ;  0; 79; 60; 97;. ;  0; * ; * ; * ;.
1 ;10 ;2006 ;6 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
1 ;10 ;2011 ;0 ;  0; 99; 97;100;. ;  0; 89; 85; 94;. ;  0; * ; * ; * ;.
1 ;10 ;2011 ;1 ;  0;100;100;100;. ;  0; 87; 62; 96;. ;  0; * ; * ; * ;.
1 ;10 ;2011 ;2 ;  0;100;100;100;. ;  0; 83; 68; 92;. ;  0; * ; * ; * ;.
1 ;10 ;2011 ;3 ;  0;101;101;101;. ;  0; 92; 84; 97;. ;  0; * ; * ; * ;.
1 ;10 ;2011 ;4 ;  0; 97; 92;100;. ;  0; 94; 86;100;. ;  0; * ; * ; * ;.
1 ;10 ;2011 ;5 ;  0; 94; 85;100;. ;  0; 84; 68; 99;. ;  0; * ; * ; * ;.
1 ;10 ;2011 ;6 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
2 ;10 ;1966 ;0 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
2 ;10 ;1966 ;1 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
2 ;10 ;1966 ;2 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
2 ;10 ;1966 ;3 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
2 ;10 ;1966 ;4 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
2 ;10 ;1966 ;5 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
2 ;10 ;1966 ;6 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
2 ;10 ;1971 ;0 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
2 ;10 ;1971 ;1 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
2 ;10 ;1971 ;2 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
2 ;10 ;1971 ;3 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
2 ;10 ;1971 ;4 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
2 ;10 ;1971 ;5 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
2 ;10 ;1971 ;6 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
2 ;10 ;1976 ;0 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
2 ;10 ;1976 ;1 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
2 ;10 ;1976 ;2 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
2 ;10 ;1976 ;3 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
2 ;10 ;1976 ;4 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
2 ;10 ;1976 ;5 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
2 ;10 ;1976 ;6 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
2 ;10 ;1981 ;0 ;  0; 99; 96;101;. ;  0; 88; 82; 95;. ;  0; * ; * ; * ;.
2 ;10 ;1981 ;1 ;  0;100;100;100;1 ;  0; 91; 72; 98;1 ;  0; * ; * ; * ;.
2 ;10 ;1981 ;2 ;  0;100;100;100;1 ;  0; 91; 72; 98;1 ;  0; * ; * ; * ;.
2 ;10 ;1981 ;3 ;  0;101;101;101;. ;  0; 98; 81;104;. ;  0; * ; * ; * ;.
2 ;10 ;1981 ;4 ;  0; 99; 90;102;. ;  0; 89; 74;100;. ;  0; * ; * ; * ;.
2 ;10 ;1981 ;5 ;  0; 89; 71;100;. ;  0; 64; 36; 93;. ;  0; * ; * ; * ;.
2 ;10 ;1981 ;6 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
2 ;10 ;1986 ;0 ;  0;100; 97;102;. ;  0; 96; 90;102;. ;  0; * ; * ; * ;.
2 ;10 ;1986 ;1 ;  0;100;100;100;1 ;  0; 96; 80;100;1 ;  0; * ; * ; * ;.
2 ;10 ;1986 ;2 ;  0;100;100;100;1 ;  0; 96; 80;100;1 ;  0; * ; * ; * ;.
2 ;10 ;1986 ;3 ;  0; 97; 77;101;. ;  0; 99; 78;105;. ;  0; * ; * ; * ;.
